T,n,rmse_classical,rmse_rough,maxerr_classical,maxerr_rough
0.010958904109589041,112,0.052387229859658345,0.05311374719287368,0.08342016357884581,0.08456040170234137
0.019178082191780823,203,0.016499021328165414,0.01661083931869168,0.04018362766038205,0.04027908756598551
0.021917808219178082,259,0.018156509388509285,0.018146685925810882,0.0534224543778286,0.05359166560512757
0.030136986301369864,183,0.01817479734499068,0.018204140031028406,0.04334880246011493,0.043321037855637415
0.03287671232876712,182,0.015764125575833635,0.015784846729130993,0.04921781203762919,0.04934559785815085
0.03561643835616438,179,0.015436451780461186,0.015441822534449066,0.05551208869853756,0.055560043575439665
0.038356164383561646,176,0.015187632189785331,0.015188458877417111,0.05380448302914306,0.05381677376214328
0.0410958904109589,947,0.024570161321698595,0.024505939143851168,0.056916729072467795,0.05688825773942145
0.049315068493150684,158,0.013980957611005058,0.013963614476193523,0.05163895548159616,0.051707823692821654
0.052054794520547946,152,0.013744123850615934,0.013721050736246763,0.04632903204492559,0.046284802390693006
0.0547945205479452,149,0.013725073869660369,0.013694106147423885,0.04974934842212689,0.049581125891779244
0.057534246575342465,147,0.013933559569385861,0.01390812878981376,0.050849573676828,0.05094105290715611
0.06027397260273973,224,0.01377446755470265,0.013766620131101949,0.05277090038313324,0.05265088140074782
0.0684931506849315,122,0.01273139295137017,0.01269636027467523,0.049025953964890234,0.0489809415859976
0.07123287671232877,119,0.012626243357711528,0.012596309329477454,0.047941687837229054,0.047784378611078135
0.07397260273972603,118,0.013338583813039203,0.013323717793215117,0.04923986130735652,0.04916402609345839
0.07671232876712329,117,0.014730173930668637,0.01472461707502338,0.050230582630895616,0.05019670301041247
0.07945205479452055,452,0.019712781507285542,0.019697646786979175,0.05216868654732424,0.05210696046699039
0.08767123287671233,104,0.012973889924698808,0.012979847453180138,0.04425621559501758,0.0442947408174796
0.09041095890410959,100,0.013256287858019144,0.013259218883643805,0.04382738218795922,0.043696909684733394
0.09315068493150686,97,0.013367656195622942,0.013375999973179795,0.04436556312819904,0.044401832537064354
0.0958904109589041,93,0.01305873223454524,0.013070216878441506,0.04180992513765399,0.04175660309865803
0.09863013698630137,186,0.01346080832902524,0.013478826451342947,0.04476687184278088,0.044700631794703294
0.10684931506849316,56,0.013064370116434066,0.013087051897517542,0.03863648793826132,0.03866023705360364
0.1095890410958904,56,0.013085975382263658,0.013111044540669917,0.03987651707083383,0.039826171760276745
0.1178082191780822,146,0.01220750811754288,0.012238276496517032,0.03877009986799803,0.03876392290675559
0.136986301369863,840,0.011553904860434117,0.011625543085827183,0.03797518038116685,0.03809674054500726
0.15616438356164383,110,0.01072602094575053,0.010790670070945566,0.03335189386367699,0.0335635558339204
0.1643835616438356,478,0.009704483512887316,0.0098065372342346,0.0316783295751778,0.031898203628610206
0.2136986301369863,734,0.008395413340267239,0.008525024358214199,0.02727913500453488,0.0276468668533231
0.2465753424657534,561,0.006334492802510274,0.006471082827692855,0.023627049065614695,0.024079054925718355
0.29041095890410956,468,0.0060674545689022195,0.0062162570717947145,0.0216332488806326,0.022135115805733914
0.3287671232876712,206,0.004785358939047793,0.004897889386816321,0.0190618829366046,0.0195871180536194
0.3863013698630137,378,0.0045798667857543,0.004746843974613845,0.016566830962667856,0.017099126519556463
0.4136986301369863,149,0.0029490829026010573,0.003002684876104381,0.011720445753072638,0.012243185477663995
0.46301369863013697,158,0.004393710825123941,0.004618015054682704,0.01269167382925657,0.013196852938207944
0.4986301369863014,502,0.0024022326401258046,0.0024626570480846995,0.010892508100056465,0.011374913763331974
0.5397260273972603,158,0.003649993053303139,0.003813661121059113,0.011050562469227438,0.011464370585007296
0.6356164383561644,158,0.0035767942518196397,0.003706050867879373,0.00977832809676659,0.010235924222587027
0.7123287671232876,157,0.0036653418577273053,0.00378925776175951,0.009925272212147574,0.010239836955029055
0.7452054794520548,453,0.0032910835217906985,0.0033672610375814747,0.009177560311839035,0.009465423534091707
0.7890410958904109,149,0.0040153652066433,0.004093320067312002,0.009875191426279142,0.010132484972665166
0.8849315068493151,158,0.004519201068976147,0.00459764862883469,0.010537121308941104,0.0107348103656356
0.958904109589041,162,0.00479826094312877,0.004859153615385565,0.010575018650760696,0.010729169351361591
0.9945205479452055,397,0.004494234518861973,0.004535481568077988,0.010039498810657289,0.010172835786222282
1.0383561643835617,162,0.005182502836269218,0.005240866016911488,0.010348999665963407,0.010462221326641695
1.210958904109589,152,0.0059003907902359185,0.00595034054762001,0.010452316277560048,0.01049433956582712
1.4602739726027398,88,0.007304546076844991,0.007355878597183088,0.011482643406587325,0.011601437071692372
1.9589041095890412,158,0.009028006797337904,0.009111562662068265,0.017231402655456828,0.017388086758577587
2.4575342465753423,85,0.010543174698359036,0.010597965525920681,0.020033955350047206,0.020215655017781813
