key,value
classical_kappa,27.918065214850007
classical_theta,0.03447163142720485
classical_xi,2.5665354353305045
classical_rho,-0.6454318528946488
classical_v0,1.4549567371224804e-8
classical_rmse_cal,0.0075634797080434074
rough_kappa,26.15254167612584
rough_theta,0.035048449816638065
rough_xi,2.445493211648626
rough_rho,-0.6453931485887463
rough_v0,1.1531312702187892e-15
rough_H,0.4899999981907327
rough_rmse_cal,0.00757736237769189
rmse_eval_classical,0.015755838745380866
rmse_eval_rough,0.015762458650516932
n_cal,369
n_eval,5787
wall_classical,113.87899994850159
wall_rough,214.57800006866455
